> scripts/get-rib.sh
CoreNetwork=core-network-0b33f47bb21243b3f  (NM_REGION=us-west-2)
===== RIB  SEGMENT=workload  EDGE=ap-northeast-1 =====
PREFIX         EDGE            SEG       TYPE                         LOCAL-PREF  MED  AS-PATH                  COMMUNITY
10.2.0.0/16    ap-northeast-3  workload  -                            0           100  64521 64522              -
10.2.0.0/16    us-east-1       workload  -                            0           100  64522                    -
10.3.0.0/16    -               -         vpc                          -           -    -                        -
10.10.0.0/16   ap-northeast-1  workload  -                            0           100  64520 64512              -
10.10.0.0/16   ap-northeast-3  workload  -                            0           100  64521 64520 64512        -
10.10.0.0/16   us-east-1       workload  -                            0           100  64522 64520 64512        -
10.11.0.0/16   ap-northeast-1  workload  -                            0           100  64520 64521 64513        -
10.11.0.0/16   ap-northeast-3  workload  -                            0           100  64521 64513              -
10.11.0.0/16   us-east-1       workload  -                            0           100  64522 64521 64513        -
10.12.0.0/16   ap-northeast-1  workload  -                            0           100  64520 64522 64514        -
10.12.0.0/16   ap-northeast-3  workload  -                            0           100  64521 64522 64514        -
10.12.0.0/16   us-east-1       workload  -                            0           100  64522 64514              -
10.13.0.0/16   -               -         transit-gateway-route-table  0           100  64515                    -
10.100.0.0/16  ap-northeast-1  workload  -                            0           100  64520 64512 65000        -
10.100.0.0/16  ap-northeast-3  workload  -                            0           100  64521 64513 65000        -
10.100.0.0/16  us-east-1       workload  -                            0           100  64522 64520 64512 65000  -
10.200.0.0/16  -               -         transit-gateway-route-table  0           100  64515 65001              -
10.200.0.0/16  us-east-1       workload  -                            0           100  64522 64514 65001        -
